movieId,director,actors
1,John Lasseter,Tom Hanks;Tim Allen;Don Rickles;Jim Varney;Wallace Shawn
2,Joe Johnston,Robin Williams;Kirsten Dunst;Bradley Pierce;Bonnie Hunt;Jonathan Hyde
3,Howard Deutch,Walter Matthau;Jack Lemmon;Ann-Margret;Sophia Loren;Daryl Hannah
4,Forest Whitaker,Whitney Houston;Angela Bassett;Loretta Devine;Lela Rochon;Gregory Hines
5,Charles Shyer,Steve Martin;Diane Keaton;Martin Short;Kimberly Williams-Paisley;George Newbern
6,Michael Mann,Al Pacino;Robert De Niro;Val Kilmer;Jon Voight;Tom Sizemore
7,Sydney Pollack,Harrison Ford;Julia Ormond;Greg Kinnear;Nancy Marchand;John Wood
8,Peter Hewitt,Jonathan Taylor Thomas;Brad Renfro;Eric Schweig;Charles Rocket;Amy Wright
9,Peter Hyams,Jean-Claude Van Damme;Powers Boothe;Raymond J. Barry;Whittni Wright;Ross Malinger
10,Martin Campbell,Pierce Brosnan;Sean Bean;Izabella Scorupco;Famke Janssen;Joe Don Baker
11,Rob Reiner,Michael Douglas;Annette Bening;Martin Sheen;Michael J. Fox;Anna Deavere Smith
12,Mel Brooks,Leslie Nielsen;Mel Brooks;Amy Yasbeck;Peter MacNicol;Lysette Anthony
13,Simon Wells,Kevin Bacon;Bob Hoskins;Bridget Fonda;Jim Cummings;Phil Collins
14,Oliver Stone,Anthony Hopkins;Joan Allen;Powers Boothe;Ed Harris;Bob Hoskins
15,Renny Harlin,Geena Davis;Matthew Modine;Frank Langella;Maury Chaykin;Patrick Malahide
16,Martin Scorsese,Robert De Niro;Sharon Stone;Joe Pesci;James Woods;Don Rickles
17,Ang Lee,Emma Thompson;Kate Winslet;Alan Rickman;Hugh Grant;Gemma Jones
18,Allison Anders,Tim Roth;Jennifer Beals;Antonio Banderas;Valeria Golino;David Proval
19,Steve Oedekerk,Jim Carrey;Ian McNeice;Simon Callow;Maynard Eziashi;Bob Gunton
20,Joseph Ruben,Wesley Snipes;Woody Harrelson;Jennifer Lopez;Robert Blake;Chris Cooper
21,Barry Sonnenfeld,John Travolta;Gene Hackman;Rene Russo;Danny DeVito;Dennis Farina
22,Jon Amiel,Sigourney Weaver;Holly Hunter;Dermot Mulroney;William McNamara;Harry Connick Jr.
23,Richard Donner,Sylvester Stallone;Antonio Banderas;Julianne Moore;Anatoli Davydov;Muse Watson
24,Victor Salva,Mary Steenburgen;Sean Patrick Flanery;Lance Henriksen;Jeff Goldblum;Brandon Smith
25,Mike Figgis,Nicolas Cage;Elisabeth Shue;Julian Sands;Richard Lewis;Steven Weber
26,Oliver Parker,Laurence Fishburne;Irène Jacob;Kenneth Branagh;Nathaniel Parker;Michael Maloney
27,Lesli Linka Glatter,Christina Ricci;Rosie O'Donnell;Thora Birch;Melanie Griffith;Gaby Hoffmann
28,Roger Michell,Amanda Root;Ciarán Hinds;Susan Fleetwood;Fiona Shaw;John Woodvine
29,Jean-Pierre Jeunet,Ron Perlman;Dominique Pinon;Judith Vittet;Daniel Emilfork;Jean-Claude Dreyfus
31,John N. Smith,Michelle Pfeiffer;George Dzundza;Courtney B. Vance;Robin Bartlett;Beatrice Winde
34,Chris Noonan,Christine Cavanaugh;Miriam Margolyes;Danny Mann;Hugo Weaving;Miriam Flynn
36,Tim Robbins,Susan Sarandon;Sean Penn;Robert Prosky;Raymond J. Barry;R. Lee Ermey
38,Andy Tennant,Kirstie Alley;Steve Guttenberg;Ashley Olsen;Mary-Kate Olsen;Jane Sibbett
39,Amy Heckerling,Alicia Silverstone;Stacey Dash;Brittany Murphy;Paul Rudd;Donald Faison
40,Darrell James Roodt,Richard Harris;James Earl Jones;Charles S. Dutton;Vusi Kunene;Tsholofelo Wechoemang
41,Richard Loncraine,Ian McKellen;Annette Bening;Jim Broadbent;Robert Downey Jr.;Kristin Scott Thomas
42,Albert Hughes,Larenz Tate;Keith David;Chris Tucker;Freddy Rodríguez;Rose Jackson
43,Michael Hoffman,Robert Downey Jr.;Meg Ryan;Sam Neill;David Thewlis;Hugh Grant
